Date,Price,Open,High,Low,Vol.,Change %
1/2/2013,"16,489.99","16,798.55","16,809.86","16,379.47",,-1.82%
1/3/2013,"16,588.54","16,495.49","16,602.64","16,451.68",,0.60%
1/4/2013,"16,648.84","16,588.27","16,701.36","16,588.27",,0.36%
1/7/2013,"16,502.65","16,648.20","16,648.20","16,424.90",,-0.88%
1/8/2013,"16,645.76","16,518.17","16,655.13","16,518.17",,0.87%
1/9/2013,"16,742.22","16,657.09","16,745.54","16,649.14",,0.58%
1/10/2013,"16,529.92","16,738.88","16,741.34","16,516.82",,-1.27%
1/11/2013,"16,634.71","16,529.37","16,684.39","16,518.03",,0.63%
1/14/2013,"16,633.18","16,624.46","16,645.87","16,514.35",,-0.01%
1/15/2013,"16,107.89","16,623.26","16,623.26","16,047.96",,-3.16%
1/16/2013,"16,181.47","16,106.60","16,225.00","16,036.31",,0.46%
1/17/2013,"16,291.09","16,243.93","16,435.39","16,243.93",,0.68%
1/18/2013,"16,601.77","16,497.65","16,617.81","16,497.65",,1.91%
1/21/2013,"16,640.81","16,636.04","16,682.33","16,593.50",,0.24%
1/22/2013,"16,894.09","16,643.43","16,907.53","16,643.43",,1.52%
1/23/2013,"16,908.67","16,894.99","16,949.32","16,869.43",,0.09%
1/24/2013,"17,056.36","16,920.84","17,067.58","16,920.84",,0.87%
1/28/2013,"17,004.99","17,073.48","17,124.33","16,985.25",,-0.30%
1/29/2013,"17,172.04","17,010.43","17,180.04","16,990.06",,0.98%
1/30/2013,"17,205.27","17,181.33","17,253.00","17,167.00",,0.19%
1/31/2013,"17,242.74","17,216.54","17,274.93","17,207.00",,0.22%
2/1/2013,"17,266.23","17,245.68","17,280.89","17,216.30",,0.14%
2/4/2013,"17,288.07","17,280.17","17,312.15","17,269.01",,0.13%
2/6/2013,"17,408.52","17,319.26","17,439.11","17,319.26",,0.70%
2/7/2013,"17,383.32","17,408.52","17,486.36","17,371.01",,-0.14%
2/8/2013,"17,477.94","17,384.55","17,499.59","17,384.55",,0.54%
2/11/2013,"17,548.54","17,498.17","17,591.64","17,494.77",,0.40%
2/12/2013,"17,611.40","17,550.20","17,658.21","17,543.15",,0.36%
2/13/2013,"17,696.45","17,638.28","17,737.68","17,635.19",,0.48%
2/14/2013,"17,765.82","17,701.79","17,777.68","17,701.79",,0.39%
2/15/2013,"17,797.22","17,793.55","17,854.06","17,729.22",,0.18%
2/18/2013,"17,865.61","17,796.95","17,914.43","17,750.26",,0.38%
2/19/2013,"17,817.71","17,867.05","17,941.73","17,786.83",,-0.27%
2/20/2013,"17,947.07","17,835.07","17,989.93","17,835.07",,0.73%
2/21/2013,"17,921.02","17,976.43","17,993.05","17,892.79",,-0.15%
2/22/2013,"18,074.27","17,930.67","18,085.53","17,896.66",,0.86%
2/25/2013,"18,020.50","18,112.37","18,175.65","17,972.58",,-0.30%
2/26/2013,"17,894.89","18,038.24","18,041.15","17,819.48",,-0.70%
2/27/2013,"18,080.90","17,908.47","18,087.87","17,876.56",,1.04%
2/28/2013,"18,173.67","18,089.42","18,217.83","18,089.42",,0.51%
3/1/2013,"18,185.19","18,199.35","18,312.65","18,160.16",,0.06%
3/4/2013,"18,133.13","18,192.37","18,209.86","18,097.03",,-0.29%
3/5/2013,"18,035.97","18,124.47","18,199.99","17,994.60",,-0.54%
3/6/2013,"18,000.45","18,076.16","18,171.40","17,953.08",,-0.20%
