Date,Price,Open,High,Low,Vol.,Change %,Monthly Return
2010-03-31,10178.43,10071.99,10284.6,10071.99,,1.04%,
2010-04-30,10428.12,10455.3,10485.73,10407.54,,-0.25%,0.024531288224215464
2010-05-31,9326.42,9516.13,9542.93,9304.27,,-2.05%,-0.10564703896771432
2010-06-30,9721.91,9713.51,9749.82,9663.92,,0.20%,0.04240533881167696
2010-07-31,10519.02,10442.94,10539.25,10432.45,,0.88%,0.08199109022815487
2010-08-31,9813.05,9531.92,9827.87,9531.92,,3.12%,-0.06711366648223893
2010-09-30,10013.31,10011.24,10031.19,9933.67,,-0.09%,0.020407518559469207
2010-10-31,,,,,,,0.0
2010-11-30,,,,,,,0.0
2010-12-31,,,,,,,0.0
2011-01-31,,,,,,,0.0
2011-02-28,,,,,,,0.0
2011-03-31,11809.54,11821.59,11887.29,11795.69,,0.01%,0.17938423957712302
2011-04-30,12057.54,11979.89,12135.51,11974.1,,0.76%,0.02099997120971686
2011-05-31,12123.15,12168.75,12207.11,12100.4,,-0.59%,0.005441408446498874
2011-06-30,12496.03,12431.67,12544.38,12400.1,,0.59%,0.030757682615491833
2011-07-31,12190.37,12110.61,12218.3,12045.9,,0.76%,-0.024460568676611727
2011-08-31,11070.58,10908.23,11076.25,10908.23,,1.53%,-0.09185857361179361
2011-09-30,11761.97,11650.19,11800.06,11649.29,,1.03%,0.06245291574605849
2011-10-31,,,,,,,0.0
2011-11-30,,,,,,,0.0
2011-12-31,,,,,,,0.0
2012-01-31,,,,,,,0.0
2012-02-29,,,,,,,0.0
2012-03-31,13761.76,13570.19,13763.97,13570.19,,1.49%,0.17002168854367095
2012-04-30,13990.38,14050.62,14066.51,13890.66,,-0.37%,0.016612700701073013
2012-05-31,13786.62,13867.72,13939.21,13768.03,,-0.61%,-0.014564293464509048
2012-06-30,13801.41,13805.87,13885.57,13767.01,,-0.03%,0.0010727792598910213
2012-07-31,14577.0,14516.79,14598.1,14516.79,,0.45%,0.05619643210367631
2012-08-31,15391.58,15274.55,15421.45,15274.55,,0.90%,0.05588118268505182
2012-09-30,15444.82,15357.59,15534.83,15333.14,,0.57%,0.0034590340952651566
2012-10-31,,,,,,,0.0
2012-11-30,,,,,,,0.0
2012-12-31,,,,,,,0.0
2013-01-31,,,,,,,0.0
2013-02-28,,,,,,,0.0
2013-03-31,18043.31,17959.44,18056.6,17959.44,,0.53%,0.16824346285680258
2013-04-30,18982.42,18824.89,19005.46,18824.89,,0.85%,0.05204754560000335
2013-05-31,21823.05,21601.8,21844.53,21601.8,,1.08%,0.14964530339124305
2013-06-30,21005.69,21054.06,21171.47,20854.42,,-0.05%,-0.037453976414845824
2013-07-31,23312.77,23369.37,23398.39,23210.83,,0.12%,0.10983119335760949
2013-08-31,22160.85,22216.02,22346.62,21989.27,,-0.24%,-0.04941154568933692
2013-09-30,21832.68,22149.16,22149.16,21669.63,,-2.48%,-0.014808547506074854
2013-10-31,,,,,,,0.0
2013-11-30,,,,,,,0.0
2013-12-31,,,,,,,0.0
2014-01-31,,,,,,,0.0
2014-02-28,,,,,,,0.0
2014-03-31,27159.91,27155.41,27252.67,27062.83,88.88M,0.16%,0.24400256862648106
2014-04-30,28912.98,28449.14,28939.74,28449.14,193.03M,1.68%,0.06454623745071308
2014-05-31,29737.69,29632.38,29854.76,29611.39,240.94M,0.66%,0.028523867135106684
