Date,Silver Price (oz),Silver Price (gram)
2011-01-09,"2,467.42",79.329
2011-01-16,"2,429.01",78.095
2011-01-23,"2,342.39",75.309
2011-01-30,"2,410.99",77.515
2011-02-06,"2,489.89",80.052
2011-02-13,"2,537.16",81.572
2011-02-20,"2,782.91",89.472
2011-02-27,"2,852.13",91.698
2011-03-06,"3,037.47",97.657
2011-03-13,"3,049.52",98.044
2011-03-20,"3,012.22",96.845
2011-03-27,"3,174.89",102.07
2011-04-03,"3,223.21",103.63
2011-04-10,"3,464.53",111.39
2011-04-17,"3,619.86",116.38
2011-04-24,"4,027.77",129.5
2011-05-01,"4,070.75",130.88
2011-05-08,"3,053.77",98.181
2011-05-15,"3,014.72",96.926
2011-05-22,"3,030.08",97.419
2011-05-29,"3,257.30",104.72
2011-06-05,"3,114.12",100.12
2011-06-12,"3,106.65",99.881
2011-06-19,"3,081.07",99.059
2011-06-26,"2,951.50",94.893
2011-07-03,"2,915.81",93.745
2011-07-10,"3,156.88",101.5
2011-07-17,"3,387.18",108.9
2011-07-24,"3,455.14",111.09
2011-07-31,"3,452.36",111.0
2011-08-07,"3,282.57",105.54
2011-08-14,"3,374.35",108.49
2011-08-21,"3,726.31",119.8
2011-08-28,"3,593.82",115.54
2011-09-04,"3,800.35",122.18
2011-09-11,"3,669.95",117.99
2011-09-18,"3,573.32",114.88
2011-09-25,"2,719.57",87.436
2011-10-02,"2,625.81",84.422
2011-10-09,"2,729.28",87.748
2011-10-16,"2,785.10",89.543
2011-10-23,"2,725.18",87.617
2011-10-30,"3,066.78",98.599
2011-11-06,"2,940.72",94.546
2011-11-13,"3,000.79",96.477
2011-11-20,"2,835.42",91.161
2011-11-27,"2,741.60",88.144
2011-12-04,"2,934.93",94.36
2011-12-11,"2,862.57",92.034
2011-12-18,"2,665.66",85.703
2011-12-25,"2,599.28",83.569
2012-01-01,"2,492.15",80.125
2012-01-08,"2,607.49",83.833
2012-01-15,"2,682.28",86.237
2012-01-22,"2,904.09",93.369
2012-01-29,"3,049.96",98.059
2012-02-05,"3,048.96",98.026
2012-02-12,"3,032.46",97.496
2012-02-19,"3,009.50",96.758
2012-02-26,"3,212.18",103.27
2012-03-04,"3,156.84",101.49
2012-03-11,"3,108.45",99.939
2012-03-18,"2,942.97",94.619
2012-03-25,"2,953.43",94.955
2012-04-01,"2,920.46",93.895
2012-04-08,"2,859.37",91.931
2012-04-15,"2,861.35",91.995
2012-04-22,"2,883.19",92.697
2012-04-29,"2,854.14",91.763
2012-05-06,"2,773.40",89.167
2012-05-13,"2,636.52",84.766
2012-05-20,"2,601.03",83.625
2012-05-27,"2,613.28",84.019
2012-06-03,"2,673.02",85.94
2012-06-10,"2,653.73",85.32
2012-06-17,"2,691.04",86.519
2012-06-24,"2,542.48",81.743
2012-07-01,"2,601.85",83.652
2012-07-08,"2,548.19",81.926
2012-07-15,"2,571.46",82.674
2012-07-22,"2,585.12",83.114
2012-07-29,"2,627.71",84.483
2012-08-05,"2,623.70",84.354
2012-08-12,"2,621.37",84.279
2012-08-19,"2,651.03",85.233
2012-08-26,"2,863.95",92.078
2012-09-02,"2,936.74",94.418
2012-09-09,"3,066.91",98.603
2012-09-16,"3,273.61",105.25
2012-09-23,"3,270.74",105.16
2012-09-30,"3,270.44",105.15
2012-10-07,"3,296.78",105.99
2012-10-14,"3,196.84",102.78
2012-10-21,"3,062.97",98.477
2012-10-28,"3,077.12",98.932
2012-11-04,"2,961.71",95.221
2012-11-11,"3,118.07",100.25
2012-11-18,"3,095.54",99.524
2012-11-25,"3,262.66",104.9
2012-12-02,"3,233.98",103.97
2012-12-09,"3,204.65",103.03
2012-12-16,"3,145.53",101.13
2012-12-23,"2,928.77",94.162
2012-12-30,"2,926.63",94.093
2013-01-06,"2,951.09",94.88
2013-01-13,"2,964.03",95.296
2013-01-20,"3,114.25",100.13
2013-01-27,"3,048.82",98.022
2013-02-03,"3,117.92",100.24
2013-02-10,"3,077.25",98.936
2013-02-17,"2,920.41",93.893
2013-02-24,"2,817.10",90.572
2013-03-03,"2,808.91",90.309
2013-03-10,"2,831.23",91.026
2013-03-17,"2,821.20",90.704
2013-03-24,"2,823.63",90.782
2013-03-31,"2,790.28",89.71
2013-04-07,"2,693.72",86.605
2013-04-14,"2,555.11",82.149
2013-04-21,"2,288.81",73.587
2013-04-28,"2,363.65",75.993
2013-05-05,"2,372.67",76.283
2013-05-12,"2,345.69",75.416
2013-05-19,"2,191.27",70.451
2013-05-26,"2,201.67",70.785
2013-06-02,"2,191.13",70.446
2013-06-09,"2,133.90",68.606
2013-06-16,"2,175.00",69.928
2013-06-23,"1,993.08",64.079
2013-06-30,"1,959.82",63.01
2013-07-07,"1,890.58",60.783
2013-07-14,"1,994.28",64.118
2013-07-21,"1,964.45",63.158
2013-07-28,"2,026.89",65.166
2013-08-04,"2,029.67",65.256
2013-08-11,"2,099.30",67.494
2013-08-18,"2,392.63",76.925
2013-08-25,"2,489.96",80.054
2013-09-01,"2,454.96",78.929
2013-09-08,"2,497.24",80.288
2013-09-15,"2,305.82",74.134
2013-09-22,"2,221.47",71.422
2013-09-29,"2,302.29",74.02
2013-10-06,"2,306.37",74.152
2013-10-13,"2,269.90",72.979
2013-10-20,"2,321.11",74.626
2013-10-27,"2,388.13",76.78
2013-11-03,"2,354.95",75.713
2013-11-10,"2,307.74",74.195
2013-11-17,"2,224.66",71.525
2013-11-24,"2,136.57",68.692
2013-12-01,"2,171.20",69.806
2013-12-08,"2,112.65",67.923
2013-12-15,"2,112.06",67.904
2013-12-22,"2,061.75",66.287
2013-12-29,"2,123.31",68.266
2014-01-05,"2,120.02",68.16
2014-01-12,"2,125.61",68.34
2014-01-19,"2,138.12",68.742
2014-01-26,"2,100.21",67.523
2014-02-02,"2,024.79",65.099
2014-02-09,"2,111.93",67.9
2014-02-16,"2,251.10",72.375
2014-02-23,"2,289.42",73.607
2014-03-02,"2,227.08",71.602
2014-03-09,"2,150.48",69.139
2014-03-16,"2,131.28",68.522
2014-03-23,"1,995.27",64.149
2014-03-30,"1,944.60",62.52
2014-04-06,"1,958.20",62.958
2014-04-13,"1,948.89",62.658
2014-04-20,"1,904.93",61.245
2014-04-27,"1,936.25",62.252
2014-05-04,"1,926.63",61.943
2014-05-11,"1,887.65",60.689
2014-05-18,"1,903.23",61.19
2014-05-25,"1,921.90",61.79
2014-06-01,"1,857.99",59.736
2014-06-08,"1,873.05",60.22
2014-06-15,"1,941.35",62.416
2014-06-22,"2,051.86",65.969
2014-06-29,"2,068.18",66.493
2014-07-06,"2,087.82",67.125
2014-07-13,"2,114.17",67.972
2014-07-20,"2,062.34",66.306
2014-07-27,"2,046.52",65.797
2014-08-03,"2,009.90",64.62
2014-08-10,"1,965.76",63.201
2014-08-17,"1,953.51",62.807
2014-08-24,"1,962.53",63.097
2014-08-31,"1,982.10",63.726
2014-09-07,"1,961.36",63.059
2014-09-14,"1,904.85",61.242
2014-09-21,"1,829.69",58.826
2014-09-28,"1,820.74",58.538
2014-10-05,"1,725.84",55.487
2014-10-12,"1,793.10",57.65
2014-10-19,"1,777.51",57.148
2014-10-26,"1,767.65",56.831
2014-11-02,"1,668.93",53.657
2014-11-09,"1,615.09",51.926
2014-11-16,"1,657.86",53.301
2014-11-23,"1,670.83",53.718
2014-11-30,"1,572.37",50.553
2014-12-07,"1,652.60",53.132
2014-12-14,"1,714.88",55.135
2014-12-21,"1,606.65",51.655
2014-12-28,"1,619.08",52.055
2015-01-04,"1,591.98",51.183
2015-01-11,"1,660.68",53.392
2015-01-18,"1,777.43",57.146
2015-01-25,"1,847.60",59.402
2015-02-01,"1,746.21",56.142
2015-02-08,"1,692.96",54.43
2015-02-15,"1,760.43",56.599
2015-02-22,"1,651.20",53.087
2015-03-01,"1,690.61",54.354
2015-03-08,"1,595.68",51.302
2015-03-15,"1,593.25",51.224
2015-03-22,"1,709.86",54.973
2015-03-29,"1,726.78",55.517
2015-04-05,"1,745.12",56.107
2015-04-12,"1,677.92",53.946
2015-04-19,"1,653.06",53.147
2015-04-26,"1,599.02",51.41
2015-05-03,"1,643.16",52.829
2015-05-10,"1,675.99",53.884
2015-05-17,"1,782.77",57.317
2015-05-24,"1,742.52",56.023
2015-05-31,"1,707.90",54.91
2015-06-07,"1,642.53",52.809
2015-06-14,"1,626.17",52.283
2015-06-21,"1,640.08",52.73
2015-06-28,"1,607.33",51.677
2015-07-05,"1,597.45",51.359
2015-07-12,"1,586.83",51.018
2015-07-19,"1,513.62",48.664
2015-07-26,"1,495.39",48.078
2015-08-02,"1,506.13",48.423
2015-08-09,"1,508.89",48.512
2015-08-16,"1,554.00",49.962
2015-08-23,"1,564.83",50.31
2015-08-30,"1,519.77",48.862
2015-09-06,"1,521.17",48.907
2015-09-13,"1,528.53",49.143
2015-09-20,"1,584.73",50.95
2015-09-27,"1,576.13",50.674
2015-10-04,"1,594.91",51.277
2015-10-11,"1,654.36",53.189
2015-10-18,"1,682.92",54.107
2015-10-25,"1,653.12",53.149
2015-11-01,"1,641.05",52.761
2015-11-08,"1,558.33",50.102
2015-11-15,"1,503.64",48.343
2015-11-22,"1,474.79",47.416
2015-11-29,"1,486.78",47.801
2015-12-06,"1,533.42",49.3
2015-12-13,"1,451.45",46.665
2015-12-20,"1,476.23",47.462
2015-12-27,"1,505.47",48.402
2016-01-03,"1,447.51",46.538
2016-01-10,"1,462.50",47.021
2016-01-17,"1,460.76",46.964
2016-01-24,"1,473.17",47.363
2016-01-31,"1,497.06",48.132
2016-02-07,"1,562.64",50.24
2016-02-14,"1,646.68",52.942
2016-02-21,"1,604.62",51.59
2016-02-28,"1,536.15",49.388
2016-03-06,"1,624.44",52.227
2016-03-13,"1,612.96",51.858
2016-03-20,"1,654.67",53.199
2016-03-27,"1,588.68",51.077
2016-04-03,"1,576.32",50.68
2016-04-10,"1,607.24",51.674
2016-04-17,"1,699.86",54.652
2016-04-24,"1,776.46",57.115
2016-05-01,"1,870.59",60.141
2016-05-08,"1,829.03",58.805
2016-05-15,"1,790.65",57.571
2016-05-22,"1,732.57",55.703
2016-05-29,"1,700.83",54.683
2016-06-05,"1,716.67",55.192
2016-06-12,"1,805.10",58.035
2016-06-19,"1,830.74",58.86
2016-06-26,"1,858.03",59.737
2016-07-03,"2,069.53",66.537
2016-07-10,"2,123.04",68.257
2016-07-17,"2,120.78",68.185
2016-07-24,"2,057.06",66.136
2016-07-31,"2,132.33",68.556
2016-08-07,"2,061.36",66.274
2016-08-14,"2,062.73",66.318
2016-08-21,"2,021.40",64.99
2016-08-28,"1,953.87",62.818
2016-09-04,"2,029.74",65.258
2016-09-11,"1,988.79",63.941
2016-09-18,"1,964.57",63.162
2016-09-25,"2,062.65",66.316
2016-10-02,"2,001.60",64.353
2016-10-09,"1,836.94",59.059
2016-10-16,"1,822.78",58.604
2016-10-23,"1,835.96",59.027
2016-10-30,"1,861.25",59.841
2016-11-06,"1,926.88",61.951
2016-11-13,"1,815.41",58.367
2016-11-20,"1,738.63",55.898
2016-11-27,"1,736.61",55.833
2016-12-04,"1,755.62",56.444
2016-12-11,"1,767.07",56.813
2016-12-18,"1,687.93",54.268
2016-12-25,"1,654.61",53.197
2017-01-01,"1,663.66",53.488
2017-01-08,"1,728.67",55.578
2017-01-15,"1,762.00",56.65
2017-01-22,"1,781.45",57.275
2017-01-29,"1,797.37",57.787
2017-02-05,"1,833.14",58.937
2017-02-12,"1,880.95",60.474
2017-02-19,"1,885.85",60.631
2017-02-26,"1,942.92",62.466
2017-03-05,"1,882.73",60.531
2017-03-12,"1,773.65",57.024
2017-03-19,"1,824.04",58.644
2017-03-26,"1,863.56",59.915
2017-04-02,"1,914.09",61.539
2017-04-09,"1,887.06",60.671
2017-04-16,"1,948.19",62.636
2017-04-23,"1,875.69",60.305
2017-04-30,"1,810.43",58.207
2017-05-07,"1,712.13",55.046
2017-05-14,"1,716.86",55.198
2017-05-21,"1,760.76",56.61
2017-05-28,"1,821.05",58.548
2017-06-04,"1,828.90",58.8
2017-06-11,"1,801.86",57.931
2017-06-18,"1,749.01",56.232
2017-06-25,"1,748.18",56.205
2017-07-02,"1,739.19",55.916
2017-07-09,"1,652.31",53.123
2017-07-16,"1,677.58",53.935
2017-07-23,"1,736.79",55.839
2017-07-30,"1,758.71",56.544
2017-08-06,"1,713.94",55.104
2017-08-13,"1,790.66",57.571
2017-08-20,"1,790.05",57.551
2017-08-27,"1,781.50",57.276
2017-09-03,"1,873.98",60.25
2017-09-10,"1,899.25",61.062
2017-09-17,"1,853.55",59.593
2017-09-24,"1,793.29",57.655
2017-10-01,"1,764.55",56.732
2017-10-08,"1,766.44",56.792
2017-10-15,"1,834.68",58.986
2017-10-22,"1,795.69",57.733
2017-10-29,"1,778.29",57.173
2017-11-05,"1,780.22",57.236
2017-11-12,"1,773.55",57.021
2017-11-19,"1,823.51",58.627
2017-11-26,"1,793.17",57.652
2017-12-03,"1,734.02",55.75
2017-12-10,"1,678.09",53.952
2017-12-17,"1,770.62",56.927
2017-12-24,"1,811.79",58.25
2017-12-31,"1,872.05",60.188
2018-01-07,"1,910.62",61.428
2018-01-14,"1,905.72",61.27
2018-01-21,"1,882.22",60.515
2018-01-28,"1,924.95",61.889
2018-02-04,"1,835.68",59.018
2018-02-11,"1,810.98",58.224
2018-02-18,"1,840.98",59.189
2018-02-25,"1,828.47",58.787
2018-03-04,"1,825.55",58.693
2018-03-11,"1,838.20",59.099
2018-03-18,"1,805.95",58.063
2018-03-25,"1,913.49",61.52
2018-04-01,"1,893.53",60.878
2018-04-08,"1,891.64",60.818
2018-04-15,"1,925.41",61.903
2018-04-22,"1,978.78",63.619
2018-04-29,"1,910.62",61.428
2018-05-06,"1,912.93",61.502
2018-05-13,"1,925.39",61.903
2018-05-20,"1,904.45",61.229
2018-05-27,"1,907.04",61.313
2018-06-03,"1,896.17",60.963
2018-06-10,"1,941.54",62.422
2018-06-17,"1,984.87",63.815
2018-06-24,"2,000.67",64.323
2018-07-01,"1,959.32",62.994
2018-07-08,"1,949.84",62.689
2018-07-15,"1,921.93",61.791
2018-07-22,"1,993.53",64.093
2018-07-29,"1,999.61",64.289
2018-08-05,"1,913.66",61.526
2018-08-12,"1,898.15",61.027
2018-08-19,"1,830.49",58.852
2018-08-26,"1,808.90",58.157
2018-09-02,"1,787.90",57.482
2018-09-09,"1,746.27",56.144
2018-09-16,"1,742.03",56.008
2018-09-23,"1,769.44",56.889
2018-09-30,"1,810.99",58.225
2018-10-07,"1,808.42",58.142
2018-10-14,"1,945.78",62.558
2018-10-21,"1,951.57",62.744
2018-10-28,"1,963.93",63.142
2018-11-04,"1,965.78",63.201
2018-11-11,"1,896.70",60.98
2018-11-18,"1,930.60",62.07
2018-11-25,"1,920.94",61.76
2018-12-02,"1,902.48",61.166
2018-12-09,"2,029.50",65.25
2018-12-16,"2,025.64",65.126
