Date,Price,Open,High,Low,Vol.,Change %,Monthly Return
2013-01-31,97.7,97.55,97.84,97.55,,0.05%,
2013-02-28,98.22,98.12,98.25,98.1,,0.02%,0.005322415557829974
2013-03-31,98.45,98.35,98.45,98.35,,0.00%,0.002341681938505369
2013-04-30,98.5,98.4,98.55,98.35,,0.00%,0.000507872016251909
2013-05-31,98.52,98.5,98.67,98.42,,0.02%,0.00020304568527906852
2013-06-30,99.55,99.45,99.55,99.45,,0.00%,0.010454730004060053
2013-07-31,101.7,101.65,101.99,101.55,,-0.05%,0.021597187343043833
2013-08-31,104.55,104.45,104.55,104.45,,0.05%,0.028023598820059004
2013-09-30,105.85,105.55,106.2,105.55,,0.19%,0.012434241989478734
2013-10-31,106.8,106.75,106.87,106.65,,-0.05%,0.008974964572508348
2013-11-30,108.45,108.35,108.45,108.35,,0.00%,0.015449438202247201
2013-12-31,105.35,105.55,105.78,105.16,,-0.28%,-0.028584601198709203
2014-01-31,105.52,105.35,105.55,105.35,,0.07%,0.0016136687233032632
2014-02-28,104.9,104.85,105.0,104.8,,-0.05%,-0.005875663381349372
2014-03-31,98.3,97.97,98.52,97.85,,0.23%,-0.06291706387035279
2014-04-30,98.65,98.33,98.8,98.33,,0.25%,0.003560528992879064
2014-05-31,98.68,98.58,98.68,98.58,,-0.02%,0.0003041054232133522
2014-06-30,98.68,98.6,98.83,98.58,,-0.02%,0.0
2014-07-31,98.78,98.7,98.8,98.68,,-0.02%,0.0010133765707336373
2014-08-31,101.85,101.75,101.85,101.75,,0.00%,0.031079165823040933
2014-09-30,102.6,102.55,102.7,102.5,,-0.12%,0.007363770250368162
2014-10-31,102.75,102.85,103.0,102.6,,-0.19%,0.0014619883040936088
2014-11-30,101.8,101.7,101.8,101.7,,0.00%,-0.009245742092457432
2014-12-31,100.8,100.9,101.05,100.3,,-0.20%,-0.00982318271119842
2015-01-31,101.1,101.0,101.1,101.0,,0.00%,0.0029761904761904656
2015-02-28,101.85,101.75,101.85,101.75,,0.00%,0.007418397626112849
2015-03-31,101.905,101.9,102.075,101.75,,0.01%,0.0005400098183603319
2015-04-30,101.855,101.62,101.955,101.62,,0.00%,-0.0004906530592218017
2015-05-31,102.015,101.91,102.015,101.91,,0.00%,0.0015708605370379214
2015-06-30,101.85,101.7,101.92,101.69,,-0.03%,-0.0016174092045287969
2015-07-31,101.875,101.69,101.915,101.69,,0.00%,0.0002454590083456054
2015-08-31,104.125,104.0,104.125,104.0,,0.21%,0.022085889570552242
2015-09-30,104.475,104.3,104.575,104.3,,0.02%,0.003361344537815114
2015-10-31,105.4,105.3,105.4,105.3,,0.00%,0.008853792773390934
2015-11-30,105.5,105.46,105.56,105.34,,-0.02%,0.000948766603415585
2015-12-31,104.85,104.8,105.05,104.7,,-0.02%,-0.006161137440758302
2016-01-31,104.85,104.7,104.85,104.7,,0.00%,0.0
2016-02-29,104.81,104.67,104.87,104.42,,0.06%,-0.0003814973772054975
2016-03-31,104.755,104.6,104.875,104.6,,0.01%,-0.0005247590878733055
2016-04-30,104.8,104.7,104.8,104.7,,0.02%,0.00042957376736185715
2016-05-31,104.815,104.8,104.945,104.72,,-0.01%,0.00014312977099240065
2016-06-30,104.73,104.6,104.78,104.6,,-0.02%,-0.0008109526308256454
2016-07-31,104.815,104.71,104.815,104.71,,0.00%,0.0008116108087461438
2016-08-31,104.725,104.75,104.805,104.69,,-0.06%,-0.0008586557267566963
2016-09-30,104.505,104.5,104.785,104.35,,-0.47%,-0.002100740033420867
2016-10-31,104.775,104.78,104.855,104.7,,0.08%,0.0025836084397876657
2016-11-30,104.85,104.7,104.85,104.7,,-0.05%,0.0007158196134573469
2016-12-31,104.375,104.375,104.375,104.375,,0.00%,-0.004530281354315657
2017-01-31,104.745,104.765,104.905,104.705,,0.00%,0.003544910179640759
2017-02-28,104.785,104.785,104.925,104.785,,-0.04%,0.0003818798033319304
2017-03-31,104.81,104.91,104.91,104.8,,0.00%,0.0002385837667606694
2017-04-30,104.725,104.725,104.725,104.725,,0.00%,-0.0008109913176224115
2017-05-31,104.81,104.93,104.93,104.81,,-0.01%,0.0008116495583672112
2017-06-30,104.86,104.97,104.97,104.86,,0.00%,0.000477053716248399
2017-07-31,105.4,105.46,105.46,105.4,,0.04%,0.005149723440778242
2017-08-31,105.23,105.28,105.28,105.23,,0.01%,-0.001612903225806428
2017-09-30,105.41,105.41,105.41,105.41,,0.00%,0.0017105388197280469
2017-10-31,105.375,105.315,105.495,105.245,,0.06%,-0.0003320368086519032
2017-11-30,105.375,105.495,105.495,105.295,,-0.04%,0.0
2017-12-31,110.7,110.7,110.7,110.7,,0.00%,0.05053380782918149
2018-01-31,110.76,110.76,110.76,110.62,,0.00%,0.0005420054200542257
2018-02-28,110.765,110.765,110.765,110.705,,0.00%,4.514265077637525e-05
2018-03-31,115.71,115.71,115.71,115.71,,0.00%,0.04464406626641981
2018-04-30,115.77,115.78,115.78,114.59,,0.00%,0.0005185377236194277
2018-05-31,115.775,115.775,115.775,114.595,,0.14%,4.318908180023229e-05
2018-06-30,121.735,121.735,121.735,121.735,,0.00%,0.051479162167998194
2018-07-31,124.06,122.3,124.63,122.3,,2.01%,0.019098862282827422
2018-08-31,122.985,122.985,123.225,122.985,,-0.05%,-0.008665162018378192
2018-09-30,123.585,123.585,123.585,123.585,,0.00%,0.004878643737041166
2018-10-31,133.775,133.575,134.185,131.835,,0.07%,0.08245337217299853
2018-11-30,138.9,136.0,143.1,134.42,,3.31%,0.03831059615025234
2018-12-31,139.8,140.0,140.0,138.25,,-0.07%,0.006479481641468832
2019-01-31,139.3,140.17,140.53,138.3,1.30K,-0.31%,-0.003576537911301858
2019-02-28,139.84,139.81,140.16,138.31,0.78K,0.01%,0.0038765254845656294
2019-03-31,140.8,140.8,140.8,140.8,1.87K,0.00%,0.006864988558352492
2019-04-30,141.3,140.95,141.74,140.925,0.80K,0.04%,0.0035511363636364646
2019-05-31,146.6,147.15,148.77,146.49,0.04K,-2.78%,0.037508846426043796
2019-06-30,163.125,163.125,163.125,163.125,0.46K,0.38%,0.11272169167803558
2019-07-31,160.55,160.625,161.155,156.28,1.00K,-0.05%,-0.01578544061302678
2019-08-31,157.0,157.0,157.0,157.0,0.36K,0.13%,-0.02211149174711935
2019-09-30,156.0,155.6,156.95,155.58,0.60K,-0.54%,-0.006369426751592355
2019-10-31,154.95,155.3,156.05,155.085,0.03K,0.03%,-0.006730769230769318
2019-11-30,155.5,155.5,155.5,155.5,0.21K,0.23%,0.0035495321071314923
2019-12-31,154.5,154.87,155.205,154.665,0.12K,-0.06%,-0.006430868167202619
2020-01-31,153.74,154.55,154.905,154.09,0.17K,-0.10%,-0.00491909385113265
2020-02-29,154.165,154.165,154.165,154.165,0.17K,0.34%,0.0027644074411343755
2020-03-31,165.75,165.43,167.3,165.095,0.06K,-0.15%,0.0751467583433334
2020-04-30,160.0,161.45,161.525,159.925,0.06K,-0.22%,-0.03469079939668174
2020-05-31,162.0,161.7,163.575,160.85,0.79K,0.83%,0.012499999999999956
2020-06-30,167.2,168.05,168.475,167.6,1.08K,0.00%,0.032098765432098775
2020-07-31,167.28,167.33,167.64,167.0,0.01K,0.12%,0.0004784688995216335
2020-08-31,164.59,166.55,166.6,165.195,0.03K,-1.13%,-0.01608082257293164
2020-09-30,165.4,165.875,165.95,165.525,0.02K,0.34%,0.004921319642748667
2020-10-31,160.0,160.41,160.66,160.12,0.00K,-0.05%,-0.03264812575574372
2020-11-30,158.8,159.425,159.605,159.025,0.02K,0.03%,-0.007499999999999951
2020-12-31,159.75,160.5,164.125,159.25,1.28K,-0.16%,0.00598236775818628
2021-01-31,159.6,160.45,160.69,159.64,1.22K,-0.19%,-0.0009389671361502705
2021-02-28,158.35,158.45,158.45,158.45,0.04K,-0.06%,-0.007832080200501301
2021-03-31,152.32,153.15,153.25,151.2,0.06K,-0.28%,-0.03808020208399121
2021-04-30,152.98,153.45,154.05,153.055,0.03K,-0.01%,0.00433298319327724
2021-05-31,152.52,154.5,154.5,153.375,0.01K,-1.15%,-0.0030069290103280633
2021-06-30,157.53,157.5,158.35,156.8,0.05K,-0.36%,0.03284815106215566
2021-07-31,161.75,162.25,162.73,161.575,0.54K,0.15%,0.026788548213038776
2021-08-31,166.25,165.8,166.89,165.525,0.67K,0.79%,0.02782071097372496
2021-09-30,170.5,170.875,171.065,169.75,0.60K,0.15%,0.02556390977443601
2021-10-31,171.55,171.7,171.7,171.7,0.03K,0.69%,0.006158357771261169
2021-11-30,175.72,176.5,176.575,174.6,0.38K,-0.16%,0.024307781987758625
2021-12-31,175.8,177.55,177.55,176.03,0.02K,-1.18%,0.00045526974732545966
2022-01-31,176.32,176.5,177.085,176.375,0.02K,-0.10%,0.0029579067121727753
2022-02-28,177.25,176.8,177.635,176.125,0.81K,0.25%,0.005274500907441082
2022-03-31,183.4,182.7,184.2,182.5,0.72K,0.55%,0.034696755994358286
2022-04-30,185.4,185.7,185.7,185.7,0.02K,0.00%,0.010905125408942284
2022-05-31,198.7,198.875,199.125,198.15,0.02K,0.05%,0.07173678532901828
2022-06-30,204.5,205.025,205.2,203.55,0.05K,-0.07%,0.029189733266230533
2022-07-31,239.66,239.625,240.425,238.75,0.02K,-0.02%,0.1719315403422983
2022-08-31,218.25,219.975,222.4,218.0,0.02K,-0.66%,-0.0893348910957189
2022-09-30,227.65,228.0,231.54,227.25,0.03K,-0.59%,0.04306987399770912
2022-10-31,220.0,222.125,222.25,220.125,0.04K,-0.45%,-0.033604216999780334
2022-11-30,224.5,224.625,224.76,223.75,0.96K,0.11%,0.020454545454545503
2022-12-31,226.4,226.7,226.865,226.25,0.47K,0.00%,0.008463251670378646
2023-01-31,267.5,270.25,270.5,266.75,0.41K,1.87%,0.1815371024734982
2023-02-28,261.0,260.5,262.125,258.625,,0.58%,-0.024299065420560706
2023-03-31,283.41,284.125,284.225,280.3,,0.07%,0.0858620689655174
2023-04-30,283.25,283.6,284.125,279.95,,0.00%,-0.000564553120920297
2023-05-31,284.55,284.875,286.125,284.675,,0.00%,0.004589585172109389
2023-06-30,286.0,286.55,286.575,286.405,,-0.05%,0.0050957652433667455
2023-07-31,286.25,282.93,287.0,282.75,,-0.05%,0.0008741258741258306
2023-08-31,306.0,304.5,306.5,302.0,,0.77%,0.06899563318777302
2023-09-30,288.3,288.75,288.75,288.75,,0.00%,-0.05784313725490198
2023-10-31,281.59,282.125,282.375,277.0,,0.30%,-0.023274366978841665
2023-11-30,285.25,286.0,286.0,285.0,,0.00%,0.012997620654142672
2023-12-31,280.97,282.2,282.575,281.125,,-0.40%,-0.015004382120946458
2024-01-31,279.12,280.05,280.15,279.435,,0.03%,-0.00658433284692328
2024-02-29,278.8,280.05,280.05,279.025,,-0.11%,-0.0011464603038119359
2024-03-31,277.5,278.575,278.575,277.75,,-0.05%,-0.004662840746054608
2024-04-30,278.13,278.95,278.95,278.265,,-0.10%,0.0022702702702701583
2024-05-31,278.32,278.8,278.8,278.25,,0.08%,0.0006831337863588693
2024-06-30,278.2,279.1,279.1,278.3,,-0.07%,-0.0004311583788445539
2024-07-31,278.25,278.85,279.175,278.525,,-0.10%,0.00017972681524081047
2024-08-31,278.82,278.82,278.82,278.82,,0.00%,0.0020485175202156203
2024-09-30,277.72,277.725,278.125,277.7,,0.12%,-0.003945197618535179
2024-10-31,277.85,278.125,278.125,277.775,,0.13%,0.000468097364251685
2024-11-30,277.8,277.8,277.8,277.8,,0.00%,-0.00017995321216490723
2024-12-31,278.12,278.625,278.625,278.36,,0.00%,0.001151907847372291
2025-01-31,278.2,278.85,278.89,278.475,,-0.14%,0.0002876456205953559
